Threshold,# Features Imputed,MSE (MI),Time (MI),MSE (KI),Time (KI),MSE (MinI),Time (MinI)
1.0000,0,69.1461,0.0032,69.1461,0.0019,69.1461,0.0020
0.0774,0,69.1461,0.0025,69.1461,0.0082,69.1461,0.0017
0.0060,2,65.4740,0.0026,59.5298,0.7792,66.1033,0.0023
0.0005,4,72.8833,0.0029,64.1701,1.7993,60.5698,0.0027
0.0000,4,72.8833,0.0033,64.1701,1.7317,60.5698,0.0028
0.0000,4,72.8833,0.0029,64.1701,1.7388,60.5698,0.0027
0.0000,4,72.8833,0.0048,64.1701,1.7540,60.5698,0.0025
0.0000,4,72.8833,0.0027,64.1701,1.6834,60.5698,0.0027
0.0000,4,72.8833,0.0113,64.1701,1.6711,60.5698,0.0044
0.0000,4,72.8833,0.0026,64.1701,1.6189,60.5698,0.0086
